Cog,CommunicationState,Latitude,Longitude,MessageID,NavigationalStatus,PositionAccuracy,Raim,RateOfTurn,RepeatIndicator,Sog,Spare,SpecialManoeuvreIndicator,Timestamp,TrueHeading,UserID,Valid,geometry,AisVersion,CallSign,Destination,Dimension,Dte,Eta,FixType,ImoNumber,MaximumStaticDraught,Name,Type
331.9,84154.0,54.45840333333333,18.70146833333333,3,1.0,False,False,0.0,0,0.2,0,0.0,48.0,64.0,236749000,True,POINT (18.70146833333333 54.45840333333333),,,,,,,,,,,
169.2,84938.0,54.403749999999995,18.715176666666665,3,5.0,False,False,0.0,0,0.0,0,0.0,45.0,117.0,241827000,True,POINT (18.715176666666665 54.403749999999995),,,,,,,,,,,
56.3,84938.0,54.40233333333333,18.681778333333334,3,5.0,True,True,0.0,0,0.0,0,0.0,48.0,140.0,261059070,True,POINT (18.681778333333334 54.40233333333333),,,,,,,,,,,
360.0,82043.0,54.38954833333333,18.67212,1,0.0,True,False,0.0,0,0.0,0,0.0,48.0,168.0,261183700,True,POINT (18.67212 54.38954833333333),,,,,,,,,,,
196.7,84250.0,54.53167166666666,18.522131666666667,3,5.0,False,False,0.0,0,0.0,0,0.0,48.0,280.0,261004420,True,POINT (18.522131666666667 54.53167166666666),,,,,,,,,,,
151.0,87834.0,54.528618333333334,18.530615,3,5.0,True,False,0.0,0,0.0,0,0.0,50.0,52.0,261139000,True,POINT (18.530615 54.528618333333334),,,,,,,,,,,
171.6,427256.0,54.38183333333333,18.662,1,0.0,True,False,0.0,0,0.0,0,1.0,30.0,7.0,261183810,True,POINT (18.662 54.38183333333333),,,,,,,,,,,
303.8,23044.0,54.39943166666667,18.69535,1,0.0,False,False,0.0,0,0.0,0,0.0,49.0,72.0,261000140,True,POINT (18.69535 54.39943166666667),,,,,,,,,,,
243.8,209466.0,54.53857333333334,18.52245333333333,3,5.0,False,False,0.0,0,0.0,0,0.0,50.0,238.0,305529000,True,POINT (18.52245333333333 54.53857333333334),,,,,,,,,,,
16.7,49289.0,54.40561666666667,18.667405,1,0.0,False,False,0.0,0,0.0,0,0.0,50.0,107.0,261521000,True,POINT (18.667405 54.40561666666667),,,,,,,,,,,
360.0,34714.0,54.60232,18.80165,1,0.0,True,True,0.0,0,0.0,0,0.0,51.0,247.0,261001620,True,POINT (18.80165 54.60232),,,,,,,,,,,
22.8,67532.0,54.65416666666667,18.944736666666664,1,0.0,True,False,0.0,0,10.8,2,0.0,52.0,23.0,228207600,True,POINT (18.944736666666664 54.65416666666667),,,,,,,,,,,
